"STATION,""NAME"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""DATE"",""PRCP"",""SNOW"",""SNWD"",""TAVG"",""TMAX"",""TMIN"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-04"",""0.13"",""0.0"",""0.0"",""40"",""48"",""33"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-05"",""0.00"",""0.0"",""0.0"",""41"",""47"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-06"",""0.00"",""0.0"",""0.0"",""44"",""53"",""37"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-07"",""0.04"",""0.0"",""0.0"",""43"",""50"",""35"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-08"",""0.35"",""0.0"",""0.0"",""45"",""52"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-09"",""0.00"",""0.0"",""0.0"",""46"",""52"",""40"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-10"",""0.00"",""0.0"",""0.0"",""44"",""59"",""34"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-11"",""0.00"",""0.0"",""0.0"",""51"",""64"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-12"",""0.00"",""0.0"",""0.0"",""57"",""73"",""42"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-13"",""0.27"",""0.0"",""0.0"",""60"",""64"",""44"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-14"",""0.03"",""0.0"",""0.0"",""47"",""53"",""40"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-15"",""0.00"",""0.0"",""0.0"",""45"",""56"",""35"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-16"",""0.00"",""0.0"",""0.0"",""47"",""58"",""39"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-17"",""0.00"",""0.0"",""0.0"",""46"",""54"",""38"""
"TBM000024233,""MASERATI LEVANTE, WA US"",""47.4444"",""-122.3138"",""112.8"",""2018-03-18"",""0.00"",""0.0"",""0.0"",""46"",""55"",""39"""
